dir,index,code,character,dataset_type
一,1,1,一,Test
一,10,1,一,Test
一,100,1,一,Test
一,101,1,一,Test
一,102,1,一,Test
一,103,1,一,Test
一,104,1,一,Test
一,105,1,一,Test
一,106,1,一,Test
一,107,1,一,Test
一,108,1,一,Test
一,109,1,一,Test
一,11,1,一,Test
一,110,1,一,Test
一,111,1,一,Test
一,112,1,一,Test
一,113,1,一,Test
一,114,1,一,Test
一,115,1,一,Test
一,116,1,一,Test
一,117,1,一,Test
一,118,1,一,Test
一,119,1,一,Test
一,12,1,一,Test
一,120,1,一,Test
一,121,1,一,Test
一,122,1,一,Test
一,123,1,一,Test
一,124,1,一,Test
一,125,1,一,Test
一,126,1,一,Test
一,127,1,一,Test
一,128,1,一,Test
一,129,1,一,Test
一,13,1,一,Test
一,130,1,一,Test
一,131,1,一,Test
一,132,1,一,Test
一,133,1,一,Test
一,134,1,一,Test
一,135,1,一,Test
一,136,1,一,Test
一,137,1,一,Test
一,138,1,一,Test
一,139,1,一,Test
一,14,1,一,Test
一,140,1,一,Test
一,141,1,一,Test
一,142,1,一,Test
一,143,1,一,Test
一,144,1,一,Test
一,15,1,一,Test
一,16,1,一,Test
一,17,1,一,Test
一,18,1,一,Test
一,19,1,一,Test
一,2,1,一,Test
一,20,1,一,Test
一,21,1,一,Test
一,22,1,一,Test
一,23,1,一,Test
一,24,1,一,Test
一,25,1,一,Test
一,26,1,一,Test
一,27,1,一,Test
一,28,1,一,Test
一,29,1,一,Test
一,3,1,一,Test
一,30,1,一,Test
一,31,1,一,Test
一,32,1,一,Test
一,33,1,一,Test
一,34,1,一,Test
一,35,1,一,Test
一,36,1,一,Test
一,37,1,一,Test
一,38,1,一,Test
一,39,1,一,Test
一,4,1,一,Test
一,40,1,一,Test
一,41,1,一,Test
一,42,1,一,Test
一,43,1,一,Test
一,44,1,一,Test
一,45,1,一,Test
一,46,1,一,Test
一,47,1,一,Test
一,48,1,一,Test
一,49,1,一,Test
一,5,1,一,Test
一,50,1,一,Test
一,51,1,一,Test
一,52,1,一,Test
一,53,1,一,Test
一,54,1,一,Test
一,55,1,一,Test
一,56,1,一,Test
一,57,1,一,Test
一,58,1,一,Test
一,59,1,一,Test
一,6,1,一,Test
一,60,1,一,Test
一,61,1,一,Test
一,62,1,一,Test
一,63,1,一,Test
一,64,1,一,Test
一,65,1,一,Test
一,66,1,一,Test
一,67,1,一,Test
一,68,1,一,Test
一,69,1,一,Test
一,7,1,一,Test
一,70,1,一,Test
一,71,1,一,Test
一,72,1,一,Test
一,73,1,一,Test
一,74,1,一,Test
一,75,1,一,Test
一,76,1,一,Test
一,77,1,一,Test
一,78,1,一,Test
一,79,1,一,Test
一,8,1,一,Test
一,80,1,一,Test
一,81,1,一,Test
一,82,1,一,Test
一,83,1,一,Test
一,84,1,一,Test
一,85,1,一,Test
一,86,1,一,Test
一,87,1,一,Test
一,88,1,一,Test
一,89,1,一,Test
一,9,1,一,Test
一,90,1,一,Test
一,91,1,一,Test
一,92,1,一,Test
一,93,1,一,Test
一,94,1,一,Test
一,95,1,一,Test
一,96,1,一,Test
一,97,1,一,Test
一,98,1,一,Test
一,99,1,一,Test
七,1,2,七,Test
七,10,2,七,Test
七,100,2,七,Test
七,101,2,七,Test
七,102,2,七,Test
七,103,2,七,Test
七,104,2,七,Test
七,105,2,七,Test
七,106,2,七,Test
七,107,2,七,Test
七,108,2,七,Test
七,109,2,七,Test
七,11,2,七,Test
七,110,2,七,Test
七,111,2,七,Test
七,112,2,七,Test
七,113,2,七,Test
七,114,2,七,Test
七,115,2,七,Test
七,116,2,七,Test
七,117,2,七,Test
七,118,2,七,Test
七,119,2,七,Test
七,12,2,七,Test
七,120,2,七,Test
七,121,2,七,Test
七,122,2,七,Test
七,123,2,七,Test
七,124,2,七,Test
七,125,2,七,Test
七,126,2,七,Test
七,127,2,七,Test
七,128,2,七,Test
七,129,2,七,Test
七,13,2,七,Test
七,130,2,七,Test
七,131,2,七,Test
七,132,2,七,Test
七,133,2,七,Test
七,134,2,七,Test
七,135,2,七,Test
七,136,2,七,Test
七,137,2,七,Test
七,138,2,七,Test
七,139,2,七,Test
七,14,2,七,Test
七,140,2,七,Test
七,141,2,七,Test
七,15,2,七,Test
七,16,2,七,Test
七,17,2,七,Test
七,18,2,七,Test
七,19,2,七,Test
七,2,2,七,Test
七,20,2,七,Test
七,21,2,七,Test
七,22,2,七,Test
七,23,2,七,Test
七,24,2,七,Test
七,25,2,七,Test
七,26,2,七,Test
七,27,2,七,Test
七,28,2,七,Test
七,29,2,七,Test
七,3,2,七,Test
七,30,2,七,Test
七,31,2,七,Test
七,32,2,七,Test
七,33,2,七,Test
七,34,2,七,Test
七,35,2,七,Test
七,36,2,七,Test
七,37,2,七,Test
七,38,2,七,Test
七,39,2,七,Test
七,4,2,七,Test
七,40,2,七,Test
七,41,2,七,Test
七,42,2,七,Test
七,43,2,七,Test
七,44,2,七,Test
七,45,2,七,Test
七,46,2,七,Test
七,47,2,七,Test
七,48,2,七,Test
七,49,2,七,Test
七,5,2,七,Test
七,50,2,七,Test
七,51,2,七,Test
七,52,2,七,Test
七,53,2,七,Test
七,54,2,七,Test
七,55,2,七,Test
七,56,2,七,Test
七,57,2,七,Test
七,58,2,七,Test
七,59,2,七,Test
七,6,2,七,Test
七,60,2,七,Test
七,61,2,七,Test
七,62,2,七,Test
七,63,2,七,Test
七,64,2,七,Test
七,65,2,七,Test
七,66,2,七,Test
七,67,2,七,Test
七,68,2,七,Test
七,69,2,七,Test
七,7,2,七,Test
七,70,2,七,Test
七,71,2,七,Test
七,72,2,七,Test
七,73,2,七,Test
七,74,2,七,Test
七,75,2,七,Test
七,76,2,七,Test
七,77,2,七,Test
七,78,2,七,Test
七,79,2,七,Test
七,8,2,七,Test
七,80,2,七,Test
七,81,2,七,Test
七,82,2,七,Test
七,83,2,七,Test
七,84,2,七,Test
七,85,2,七,Test
七,86,2,七,Test
七,87,2,七,Test
七,88,2,七,Test
七,89,2,七,Test
七,9,2,七,Test
七,90,2,七,Test
七,91,2,七,Test
七,92,2,七,Test
七,93,2,七,Test
七,94,2,七,Test
七,95,2,七,Test
七,96,2,七,Test
七,97,2,七,Test
七,98,2,七,Test
七,99,2,七,Test
三,1,3,三,Test
三,10,3,三,Test
三,100,3,三,Test
三,101,3,三,Test
三,102,3,三,Test
三,103,3,三,Test
三,104,3,三,Test
三,105,3,三,Test
三,106,3,三,Test
三,107,3,三,Test
三,108,3,三,Test
三,109,3,三,Test
三,11,3,三,Test
三,110,3,三,Test
三,111,3,三,Test
三,112,3,三,Test
三,113,3,三,Test
三,114,3,三,Test
三,115,3,三,Test
三,116,3,三,Test
三,117,3,三,Test
三,118,3,三,Test
三,119,3,三,Test
三,12,3,三,Test
三,120,3,三,Test
三,121,3,三,Test
三,122,3,三,Test
三,123,3,三,Test
三,124,3,三,Test
三,125,3,三,Test
三,126,3,三,Test
三,127,3,三,Test
三,128,3,三,Test
三,129,3,三,Test
三,13,3,三,Test
三,130,3,三,Test
三,131,3,三,Test
三,132,3,三,Test
三,133,3,三,Test
三,134,3,三,Test
三,135,3,三,Test
三,136,3,三,Test
三,137,3,三,Test
三,138,3,三,Test
三,139,3,三,Test
三,14,3,三,Test
三,140,3,三,Test
三,141,3,三,Test
三,142,3,三,Test
三,143,3,三,Test
三,144,3,三,Test
三,15,3,三,Test
三,16,3,三,Test
三,17,3,三,Test
